word,meaning
maintain,維持；保持
occur,發生
derive,獲得；源自
significant,重要的；顯著的
increase,增加
construct,建造
establish,建立
require,需要
participate,參與
environment,環境
population,人口
resource,資源
technology,科技
research,研究
evidence,證據
predict,預測
determine,決定；判定
influence,影響
improve,改善
reduce,減少
develop,發展
create,創造
observe,觀察
compare,比較
describe,描述
explain,解釋
analyze,分析
support,支持
include,包含
provide,提供
discover,發現
achieve,達成
available,可取得的
benefit,益處
challenge,挑戰
community,社區
culture,文化
education,教育
energy,能源
experience,經驗
feature,特徵
function,功能
government,政府
history,歷史
industry,產業
knowledge,知識
method,方法
natural,自然的
process,過程
society,社會
